range_start_record_id,range_end_record_id,records,high_confidence_records,high_confidence_percentage,ambiguous_records,ambiguous_percentage,high_confidence_matches,ambiguous_matches
0,999999,1000000,162813,16.281,99767,9.977,637598,226938
1000000,1999999,1000000,390,0.039,224,0.022,659,282
2000000,2999999,1000000,9993,0.999,4676,0.468,12616,5575
3000000,3999999,1000000,13269,1.327,6474,0.647,19662,8604
4000000,4999999,1000000,14835,1.484,6864,0.686,25715,9073
5000000,5999999,1000000,13788,1.379,6585,0.658,18986,8152
6000000,6999999,1000000,12448,1.245,6103,0.61,16248,7577
7000000,7999999,1000000,12398,1.24,6313,0.631,15777,7727
8000000,8999999,1000000,13244,1.324,6486,0.649,21637,9321
9000000,9999999,1000000,14155,1.415,6768,0.677,19752,8082
10000000,10999999,1000000,12852,1.285,6403,0.64,19400,8463
11000000,11999999,1000000,13621,1.362,6974,0.697,21521,9564
12000000,12999999,1000000,11939,1.194,6045,0.605,15858,7679
13000000,13884794,884795,12001,1.356,6218,0.703,17919,8869
